Node	X Location (m)	Y Location (m)	Z Location (m)	
473	3.2785e-002	8.4941e-002	5.1677e-002	
474	5.243e-002	6.364e-002	5.3776e-002	
475	5.8251e-002	6.4171e-002	5.7405e-002	
476	4.1019e-002	7.1013e-002	5.1642e-002	
477	4.4371e-002	6.9776e-002	5.2525e-002	
478	3.4871e-002	7.5136e-002	5.1204e-002	
479	3.4992e-002	7.7426e-002	5.1341e-002	
480	6.2394e-002	5.8248e-002	5.5165e-002	
481	0.13195	5.1181e-002	5.2837e-002	
482	0.11289	5.0728e-002	5.6173e-002	
483	0.11898	5.0518e-002	5.5158e-002	
484	0.11018	4.5028e-002	5.4142e-002	
485	0.10707	4.536e-002	5.4172e-002	
486	0.10293	5.0507e-002	5.6872e-002	
487	8.8636e-002	5.1841e-002	5.7044e-002	
488	8.2939e-002	4.827e-002	5.424e-002	
489	0.14367	7.6854e-002	5.2926e-002	
490	0.13286	7.0535e-002	5.6799e-002	
491	0.13128	5.5988e-002	5.3931e-002	
492	0.14607	0.10902	4.9581e-002	
493	0.14297	0.1034	5.2476e-002	
494	0.12999	0.12918	5.7684e-002	
495	0.12868	0.13708	5.4825e-002	
496	0.13607	0.12867	5.2501e-002	
497	0.12439	0.15017	4.9877e-002	
498	0.13483	0.12114	5.5614e-002	
499	0.10736	0.16458	4.6742e-002	
500	0.11287	0.16382	4.3103e-002	
501	0.11438	0.15997	4.7265e-002	
502	9.2746e-002	0.17575	2.6004e-002	
503	8.823e-002	0.17699	2.0218e-002	
504	8.0088e-002	0.17596	2.6498e-002	
505	8.1901e-002	0.17709	2.0465e-002	
506	5.2115e-002	0.16749	3.1616e-002	
507	5.7425e-002	0.17038	3.0279e-002	
508	4.4138e-002	0.16385	2.5841e-002	
509	4.2011e-002	0.16241	2.635e-002	
510	4.0856e-002	0.16018	2.8575e-002	
511	3.7518e-002	0.15615	3.1184e-002	
512	3.9695e-002	0.15797	3.0804e-002	
513	3.6274e-002	0.15352	3.3219e-002	
514	3.2808e-002	0.14908	3.5638e-002	
515	3.1497e-002	0.14602	3.7484e-002	
516	3.3265e-002	0.14376	4.0585e-002	
517	3.2382e-002	0.14468	3.8912e-002	
518	3.0858e-002	0.13904	4.2223e-002	
519	2.6357e-002	0.12949	4.5026e-002	
520	2.654e-002	0.12665	4.6099e-002	
521	2.695e-002	0.121	4.8229e-002	
522	2.6519e-002	0.12381	4.7275e-002	
523	2.4169e-002	0.10681	4.9859e-002	
524	2.533e-002	0.11149	4.9276e-002	
525	2.689e-002	0.11339	4.9353e-002	
526	2.7138e-002	0.10106	5.0538e-002	
527	2.9603e-002	9.5382e-002	5.1357e-002	
528	3.0928e-002	9.2538e-002	5.164e-002	
529	3.2149e-002	8.9687e-002	5.2082e-002	
530	3.6891e-002	8.1155e-002	5.256e-002	
531	3.5228e-002	8.401e-002	5.2394e-002	
532	3.3515e-002	8.6862e-002	5.2269e-002	
533	5.1883e-002	6.6008e-002	5.5047e-002	
534	4.7214e-002	7.1697e-002	5.5655e-002	
535	3.7594e-002	7.4344e-002	5.1442e-002	
536	7.2865e-002	6.2807e-002	6.1614e-002	
537	7.3929e-002	5.5751e-002	5.7424e-002	
538	6.9977e-002	5.7291e-002	5.7122e-002	
